Version Name.jpg	Title	Urgency	Categories	Suppl. Categories	Keywords	Instructions	Date Created	Author	Authors Position	City	State/Province	Country	Transmission Reference	Headline	Credit	Source	Copyright Notice	Caption	Caption Writer	Rating
altona_beach2006-09-25_1.jpg			australia altona port_phillip_bay		travel										Tony Knox		&copy; Miettas 2007	Melbourne across the bay from Altona		1
altona_beach2006-09-25_2.jpg			australia altona port_phillip_bay		travel										Tony Knox		&copy; Miettas 2007	Melbourne across the bay from Altona		1
altona_beach2006-09-25_3.jpg			australia altona port_phillip_bay		travel										Tony Knox		&copy; Miettas 2007	Melbourne across the bay from Altona		3
altona_beach2006-09-25_4.jpg			australia altona port_phillip_bay		travel										Tony Knox		&copy; Miettas 2007	Melbourne across the bay from Altona		1
altona_refinery2006-09-29_1.jpg			australia altona kororoit_creek		travel										Tony Knox		&copy; Miettas 2007	The refinery over the flood plains of the Kororoit Creek 		1
altona_refinery2006-09-29_3.jpg			australia altona kororoit_creek		travel										Tony Knox		&copy; Miettas 2007	The refinery over the flood plains of the Kororoit Creek 		1
altona_refinery2006-09-29_5.jpg			australia altona kororoit_creek		travel										Tony Knox		&copy; Miettas 2007	The refinery over the flood plains of the Kororoit Creek 		1
altona_refinery2006-09-29_6.jpg			australia altona kororoit_creek		travel										Tony Knox		&copy; Miettas 2007	The refinery over the flood plains of the Kororoit Creek 		1
altona_refinery2006-09-29_7.jpg			australia altona kororoit_creek		travel										Tony Knox		&copy; Miettas 2007	The refinery over the flood plains of the Kororoit Creek 		1
altona_refinery2006-09-29_8.jpg			australia altona kororoit_creek		travel										Tony Knox		&copy; Miettas 2007	The refinery over the flood plains of the Kororoit Creek 		1
altona_refinery2006-09-29_9.jpg			australia altona kororoit_creek		travel										Tony Knox		&copy; Miettas 2007	The refinery over the flood plains of the Kororoit Creek 		1
altona_refinery2006-09-29_10.jpg			australia altona kororoit_creek		travel										Tony Knox		&copy; Miettas 2007	The refinery over the flood plains of the Kororoit Creek 		1
altona_refinery2006-09-29_11.jpg			australia altona kororoit_creek		travel										Tony Knox		&copy; Miettas 2007	The refinery over the flood plains of the Kororoit Creek 		1
altona_refinery2006-09-29_12.jpg			australia altona kororoit_creek		travel										Tony Knox		&copy; Miettas 2007	The refinery over the flood plains of the Kororoit Creek 		1
altona_refinery2006-09-29_13.jpg			australia altona kororoit_creek		travel										Tony Knox		&copy; Miettas 2007	The refinery over the flood plains of the Kororoit Creek 		1
