armstrong_russellrsion Name.jpg	Title	Urgency	Categories	Suppl. Categories	Keywords	Instructions	Date Created	Author	Authors Position	City	State/Province	Country	Transmission Reference	Headline	Credit	Source	Copyright Notice	Caption	Caption Writer	Rating
armstrong_russell_0811.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0812.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0813.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0814.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0815.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with his brigade		1
armstrong_russell_0816.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with his brigade		1
armstrong_russell_0817.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong with his brigade		1
armstrong_russell_0818.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0820.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0821.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0822.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Food prepared and portioned out for a function		1
armstrong_russell_0823.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Food prepared and portioned out for a function		1
armstrong_russell_0824.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Food prepared and portioned out for a function		1
armstrong_russell_0825.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0826.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0827.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0829.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0830.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong and his brigade		1
armstrong_russell_0831.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0832.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0834.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0835.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0836.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0837.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0838.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0839.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0840.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0841.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0843.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0844.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0846.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong - a moment of relaxation		1
armstrong_russell_0847.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0848.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong		1
armstrong_russell_0851.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
armstrong_russell_0852.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
armstrong_russell_0853.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
armstrong_russell_0854.jpg			chefs seasalt_at_armstrongs armstrong_russell		chefs										Tony Knox		&copy; Mietta's 2003	Russell Armstrong settles some important matters with his son		1
