Version Name	Title	Urgency	Categories	Suppl. Categories	Keywords	Instructions	Date Created	Author	Authors Position	City	State/Province	Country	Transmission Reference	Headline	Credit	Source	Copyright Notice	Caption	Caption Writer	Rating
IMG_3676			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3674			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3672			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3667			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3666			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3663			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3661			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3660			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3656			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3648			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3643			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3641			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3638			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3637			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3635			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3630			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3628			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3627			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3626			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3624			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3622			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3621			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3609			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3608			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		2
IMG_3605			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3601			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3597			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3595			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3593			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3592			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3588			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3587			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron with his assistant cook, Angela Frank		1
IMG_3586			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3585			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
IMG_3584			chefs sunnybrae biron_george		chefs										Tony Knox		&copy Miettas 2009	George Biron doing Sunday lunch at Sunnybrae		1
