Version Name	Title	Urgency	Categories	Suppl. Categories	Keywords	Instructions	Date Created	Author	Authors Position	City	State/Province	Country	Transmission Reference	Headline	Credit	Source	Copyright Notice	Caption	Caption Writer	Rating
cooke_donovan_est_a_005			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_011			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_018			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_033			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_034			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_b_028			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_006			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_007			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_009			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_c_015			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_018			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_026			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_d_027			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_036			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_035			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_032			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_031			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_030			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_029			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_028			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_027			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_026			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_025			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_024			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_a_023			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_a_022			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_a_021			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_a_019			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_a_017			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_a_016			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_a_015			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_a_014			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_a_013			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est with waiters		1
cooke_donovan_est_a_012			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_010			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_009			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_008			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		2
cooke_donovan_est_a_007			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_006			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_004			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
cooke_donovan_est_a_003			chefs est cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke during service at est est est		1
