Version Name	Title	Urgency	Categories	Suppl. Categories	Keywords	Instructions	Date Created	Author	Authors Position	City	State/Province	Country	Transmission Reference	Headline	Credit	Source	Copyright Notice	Caption	Caption Writer	Rating
cooke_donovan_miettas_c_036			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke in the dining room after the dinner		1
cooke_donovan_miettas_c_035			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke in the dining room after the dinner		1
cooke_donovan_miettas_c_034			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinner		1
cooke_donovan_miettas_c_033			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinner		1
cooke_donovan_miettas_c_032			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinner		1
cooke_donovan_miettas_c_031			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinnerDonovan Cooke in the dining room after the dinner		1
cooke_donovan_miettas_c_030			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinner		1
cooke_donovan_miettas_c_029			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinner		1
cooke_donovan_miettas_c_028			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinner		1
cooke_donovan_miettas_c_027			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinner		1
cooke_donovan_miettas_c_025			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinner		1
cooke_donovan_miettas_c_024			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinner		1
cooke_donovan_miettas_c_022			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinner		1
cooke_donovan_miettas_c_021			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinner		1
cooke_donovan_miettas_c_020			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinner		1
cooke_donovan_miettas_c_019			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinner		1
cooke_donovan_miettas_c_018			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinner		1
cooke_donovan_miettas_c_017			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinner		1
cooke_donovan_miettas_c_016			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinner		1
cooke_donovan_miettas_c_015			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinner		1
cooke_donovan_miettas_c_014			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinnerDonovan Cooke with Phillipa, his wife, in the dining room after the dinner		1
cooke_donovan_miettas_c_013			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinner		1
cooke_donovan_miettas_c_012			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta in the dining room after the dinner		2
cooke_donovan_miettas_c_011			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_c_010			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_c_009			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_c_008			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_c_007			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_c_006			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_c_005			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_c_004			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_c_003			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_c_002			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_031			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_026			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_028			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_029			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_030			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_025			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_024			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_a_020			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke with Phillipa, his wife, and Mietta		2
cooke_donovan_miettas_a_018			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_a_016			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_a_015			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		2
cooke_donovan_miettas_a_009			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_a_008			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_a_007			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_c_001			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_036			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_035			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_027			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_034			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_033			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_032			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_b_023			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		2
cooke_donovan_miettas_b_022			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		1
cooke_donovan_miettas_b_021			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		1
cooke_donovan_miettas_b_020			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		1
cooke_donovan_miettas_b_019			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		1
cooke_donovan_miettas_b_018			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		1
cooke_donovan_miettas_a_014			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		1
cooke_donovan_miettas_a_013			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		1
cooke_donovan_miettas_a_012			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		2
cooke_donovan_miettas_a_011			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		1
cooke_donovan_miettas_a_010			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		2
cooke_donovan_miettas_a_005			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		1
cooke_donovan_miettas_a_004			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		1
cooke_donovan_miettas_a_002			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		1
cooke_donovan_miettas_a_001			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke and the team plating a dinner		1
cooke_donovan_miettas_a_000			chefs miettas cooke_donovan		chefs										Tony Knox		&copy Miettas 1995	Donovan Cooke during service at Mietta's		1
