Version Name	Title	Urgency	Categories	Suppl. Categories	Keywords	Instructions	Date Created	Author	Authors Position	City	State/Province	Country	Transmission Reference	Headline	Credit	Source	Copyright Notice	Caption	Caption Writer	Rating
cooke_donovan_phillipa_011			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		1
cooke_donovan_phillipa_013			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		1
cooke_donovan_phillipa_030			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Phillipa Sibley-Cooke		1
cooke_donovan_phillipa_031			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		2
cooke_donovan_phillipa_027			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		2
cooke_donovan_phillipa_026			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		1
cooke_donovan_phillipa_025			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		1
cooke_donovan_phillipa_018			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		1
cooke_donovan_phillipa_017			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		1
cooke_donovan_phillipa_022			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		2
cooke_donovan_phillipa_019			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		1
cooke_donovan_phillipa_021			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		1
cooke_donovan_phillipa_020			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		2
cooke_donovan_phillipa_012			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		2
cooke_donovan_phillipa_010			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		1
cooke_donovan_phillipa_009			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		2
cooke_donovan_phillipa_008			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		1
cooke_donovan_phillipa_007			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		1
cooke_donovan_phillipa_006			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke		1
cooke_donovan_phillipa_005			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke and Phillipa Sibley-Cooke at est est est in 1999		1
cooke_donovan_phillipa_004			chefs portrait_1999 cooke_donovan		chefs										Tony Knox		&copy Miettas 1999	Donovan Cooke and Phillipa Sibley-Cooke at est est est in 1999		1
