samson_kurtrsion Name.jpg	Title	Urgency	Categories	Suppl. Categories	Keywords	Instructions	Date Created	Author	Authors Position	City	State/Province	Country	Transmission Reference	Headline	Credit	Source	Copyright Notice	Caption	Caption Writer	Rating
samson_kurt_3373.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson and waiters during service		1
samson_kurt_3371.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3370.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3369.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3368.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3367.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3364.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3362.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3361.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3357.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3342.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3340.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3333.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3332.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3329.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3327.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3322.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3321.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3320.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3317.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3316.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3314.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3312.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3311.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3310.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3309.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3307.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3305.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3303.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3293.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3292.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3288.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson and waiters during service		1
samson_kurt_3287.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson and waiters during service		1
samson_kurt_3286.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson and waiters during service		1
samson_kurt_3282.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3189.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson and waiters during service		1
samson_kurt_3284.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson and waiters during service		1
samson_kurt_3280.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3279.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3275.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3274.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3271.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3270.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3269.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3268.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3266.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3264.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
samson_kurt_3263.jpg			chefs builders_arms samson_kurt		chefs										Tony Knox		&copy; Miettas 2008	Kurt Samson during service		1
